"agent_A","agent_B","contact","date_start","date_stop","duration","dist_min","dist_mean","dist_max"
199,205,3,949,964,15,9.87,11.79,14.73
199,206,0,495,507,12,5.14,8.78,13.35
199,206,1,827,835,8,1.14,7.35,13.42
199,206,2,1032,1034,2,14.33,14.54,14.72
199,207,0,535,569,34,4.18,9.25,14.57
199,207,1,832,852,20,4.95,8.9,14.13
199,207,2,961,967,6,13,13.62,14.5
199,208,0,792,802,10,4.01,8.54,13.68
199,208,1,899,906,7,12.74,13.63,14.81
199,209,0,693,695,2,13.89,14.13,14.27
199,209,1,791,799,8,4.89,8.75,13.87
199,209,2,975,984,9,8.16,10.59,14.3
200,132,0,924,924,0,14.09,14.09,14.09
200,195,0,774,780,6,12.2,13.13,14.44
200,197,0,512,521,9,5.26,8.76,13.68
200,197,1,1010,1018,8,12.8,13.68,14.95
200,198,0,712,717,5,13.96,14.31,14.89
200,198,1,950,971,21,6.15,9.78,14.89
200,199,0,883,891,8,1.87,7.45,13.32
200,199,1,977,984,7,7.71,9.99,12.94
200,201,0,626,633,7,9.97,11.95,14.66
200,201,1,725,725,0,14.84,14.84,14.84
200,202,0,913,920,7,2.62,7.34,12.42
200,203,0,713,713,0,14.89,14.89,14.89
200,203,1,1011,1023,12,8,10.76,14.83
200,206,0,606,618,12,3.07,8.32,14.69
200,206,1,926,932,6,11.53,12.87,14.6
200,206,2,958,972,14,2.33,8.07,14.58
200,207,0,735,753,18,10.55,12.11,14.76
200,207,1,765,778,13,5.42,9.28,14.25
200,207,2,1003,1030,27,1.69,7.53,14.86
200,209,0,718,728,10,9.12,11.06,13.93
200,209,1,980,988,8,0.23,7.41,13.48
201,141,0,918,928,10,2.45,6.87,13.44
201,195,0,969,973,4,12.41,13.19,14.14
201,196,0,872,891,19,3.39,8.06,13.78
201,196,1,901,920,19,7.11,10.21,14.71
201,197,0,933,969,36,3.97,8.7,14.86
201,197,1,1011,1020,9,11.53,12.77,14.9
201,198,0,737,746,9,12.18,13.14,14.57
201,198,1,885,894,9,3.3,7.76,12.83
201,199,0,758,765,7,5.24,9.32,14.9
201,200,0,626,633,7,9.97,11.95,14.66
201,200,1,725,725,0,14.84,14.84,14.84
201,202,0,432,441,9,11.32,12.64,14.74
201,202,1,612,616,4,13.8,14.38,14.98
201,202,2,705,713,8,4.74,8.37,12.56
201,202,3,799,808,9,4.97,9.01,13.9
201,202,4,895,900,5,13.9,14.36,14.92
201,202,5,989,994,5,7.82,10.1,13.03
201,203,0,813,821,8,5.68,9.7,14.35
201,204,0,606,615,9,3.65,8.2,13.39
201,204,1,1036,1051,15,4.28,9.12,14.92
201,205,0,451,458,7,5.26,8.79,13.07
201,205,1,756,786,30,0.23,8.81,14.99
201,205,2,1049,1054,5,6.66,10.19,14.28
201,206,0,424,433,9,0.47,6.38,14.23
201,206,1,668,673,5,10.76,12.37,14.8
201,206,2,905,912,7,4.3,8.7,13.99
201,208,0,498,509,11,4.45,8.8,14.42
201,208,1,827,835,8,9.25,11.33,14.71
201,209,0,562,565,3,12.86,13.55,14.55
201,209,1,640,645,5,11.13,12.68,14.94
201,209,2,877,879,2,13.82,14.14,14.37
202,123,0,943,946,3,11.99,12.68,13.49
202,132,0,923,923,0,13.52,13.52,13.52
202,195,0,495,501,6,12.97,13.65,14.79
202,195,1,623,631,8,5.38,9.38,13.97
202,196,0,680,689,9,2.64,8.03,14.67
202,196,1,895,905,10,1.61,8.22,14.64
202,197,0,997,1000,3,13.23,13.7,14.29
202,198,0,592,600,8,5.97,9.53,14.09
202,198,1,1037,1046,9,2.49,8.08,14.03
202,199,0,666,672,6,8.09,10.65,13.82
202,199,1,1044,1050,6,7.91,10.51,13.84
202,200,0,913,920,7,2.62,7.34,12.42
202,201,0,612,616,4,13.8,14.38,14.98
202,201,1,705,713,8,4.74,8.37,12.56
202,201,2,799,808,9,4.97,9.01,13.9
202,201,3,895,900,5,13.9,14.36,14.92
202,201,4,989,994,5,7.82,10.1,13.03
202,203,0,648,655,7,7.27,10.13,14.18
202,203,1,749,755,6,10.2,11.71,13.59
202,204,0,491,499,8,7.73,10.49,14.22
202,204,1,613,624,11,4.75,9.14,14.48
202,205,0,542,549,7,3.06,8.56,14.92
202,205,1,868,876,8,1.87,8.08,14.33
202,205,2,954,958,4,11.39,12.61,14.06
202,207,0,717,724,7,10.9,12.17,13.95
202,208,0,930,941,11,6.08,9.39,14.6
202,209,0,742,747,5,11.06,12.59,14.52
202,209,1,905,907,2,5.84,9.56,13.28
203,195,0,505,516,11,2.3,7.76,13.97
203,195,1,711,731,20,0.83,7.54,14.94
203,196,0,430,440,10,5.05,8.42,13.78
203,196,1,472,482,10,5.02,8.86,13.86
203,197,0,695,704,9,3.93,8.18,13.37
203,197,1,1011,1017,6,10.54,11.84,13.46
203,198,0,717,728,11,4.61,9.12,14.6
203,199,0,682,693,11,1.54,7.35,13.37
203,200,0,713,713,0,14.89,14.89,14.89
203,200,1,1011,1023,12,8,10.76,14.83
203,201,0,813,821,8,5.68,9.7,14.35
203,202,0,648,655,7,7.27,10.13,14.18
203,202,1,749,755,6,10.2,11.71,13.59
203,204,0,498,511,13,6.74,9.57,13.44
203,204,1,941,959,18,4.01,8.46,14.4
203,205,0,553,564,11,3.08,7.03,12.8
203,205,1,923,946,23,1.12,8.4,13.95
203,206,0,617,625,8,2.25,7.9,14.88
203,207,0,1010,1027,17,7.11,10.08,14.56
203,208,0,531,544,13,3.6,8.5,14.27
203,209,0,671,679,8,5.56,9.75,14.52
204,123,0,928,933,5,6.76,9.25,13.27
204,195,0,500,510,10,11.1,12.48,14.65
204,196,0,771,789,18,10.77,12.41,14.96
204,197,0,717,731,14,8.71,11.13,14.74
204,197,1,749,781,32,1.36,7.77,14.76
204,198,0,845,854,9,13.4,13.97,14.86
204,199,0,701,707,6,12.09,13.1,14.93
204,199,1,818,821,3,14.25,14.49,14.8
204,199,2,936,946,10,5.61,9.42,14.45
204,201,0,606,615,9,3.65,8.2,13.39
204,201,1,1036,1039,3,7.77,10.67,13.57
204,202,0,491,499,8,7.73,10.49,14.22
204,202,1,613,624,11,4.75,9.14,14.48
204,203,0,498,511,13,6.74,9.57,13.44
204,203,1,941,959,18,4.01,8.46,14.4
204,205,0,741,751,10,0.58,8.02,14.8
204,205,1,944,949,5,12.5,13.33,14.58
204,206,0,562,572,10,10.58,12.1,14.25
204,208,0,773,786,13,5.01,9,14.52
204,209,0,849,864,15,1.62,7.71,14.14
205,123,0,927,927,0,13.5,13.5,13.5
205,197,0,455,466,11,4.45,8.45,13.44
205,197,1,668,676,8,13.47,14,14.92
205,198,0,628,637,9,1.78,7.35,13.27
205,199,0,517,525,8,4.23,9,14.49
205,199,1,600,604,4,11.46,12.39,13.37
205,199,2,761,767,6,9.79,12.05,14.76
205,199,3,949,964,15,9.87,11.79,14.73
205,201,0,451,458,7,5.26,8.79,13.07
205,201,1,756,786,30,0.23,8.73,14.99
205,202,0,542,549,7,3.06,8.56,14.92
205,202,1,868,876,8,1.87,8.08,14.33
205,202,2,954,958,4,11.39,12.61,14.06
205,203,0,553,564,11,3.08,7.67,12.8
205,203,1,923,946,23,1.12,8.57,13.95
205,204,0,741,751,10,0.58,8.02,14.8
205,204,1,944,949,5,12.5,13.33,14.58
205,206,0,531,537,6,9.46,11.19,13.61
205,206,1,696,708,12,4.92,9,14.69
205,206,2,854,858,4,12.42,13.26,14.1
205,209,0,831,843,12,5.82,9.7,14.98
205,209,1,909,909,0,6.39,6.39,6.39
206,132,0,924,924,0,12.25,12.25,12.25
206,141,0,983,988,5,10.36,11.94,13.86
206,195,0,572,589,17,1.88,8.07,14.84
206,195,1,791,800,9,9.47,10.94,14.08
206,195,2,803,814,11,7.07,9.36,14.01
